map16  	 217.321450777202      	 384.622099954149      	  282.384262598846    
map18  	 268.607364713417      	 303.385461121157      	  290.031818514391    
map1  	 300.451575931232      	 348.075020746888      	  322.253023374244    
map25  	 258.827769207035      	 400.602101241643      	  323.334676056014    
map15  	 384.622099954149      	 403.880982185845      	  392.288187873825    
map7  	 344.784545828196      	 483.214746543779      	  420.133922199593    
map2  	 221.803490216816      	 781.790121155638      	  482.243970122919    
map29  	 384.269720568026      	 541.200516129032      	  487.047081879011    
map27  	 402.717618819011      	 976.555064027939      	  610.821994588458    
map3  	 487.426380011621      	 805.048752399232      	  642.819181109405    
map4  	 638.402435312024      	 745.654044444444      	  676.776094176656    
map28  	 568.719186440678      	 928.970985603544      	  703.930106152369    
map13  	 748.982857142857      	 773.856826568266      	  764.853583622812    
map14  	 1547.71365313653      	 1550.57449168207      	  1548.66726598504    
map22  	 1565.03880597015      	 1641.60626223092      	  1598.46552778419    
map34  	 1811.79438444924      	 2190.23707571802      	  2001.36195848057    
map30  	 2285.7242506812       	 2629.65768025078      	  2437.37569126304    
map37  	 2853.26802721088      	 2882.68316151203      	  2869.58738254234    
map5  	 2985.26975088968      	 3072.75018315018      	  3032.45688622585    
