map31 	 31 	 3.7
map19 	 19 	 2.7
map12 	 12 	 3.0
map25 	 25 	 3.8
map18 	 18 	 2.8
map4 	 4 	 1.8
map38 	 38 	 4.4
map15 	 15 	 2.6
map2 	 2 	 1.3
map7 	 7 	 2.4
map3 	 3 	 1.8
map28 	 28 	 2.0
map16 	 16 	 2.2
map1 	 1 	 3.2
map27 	 27 	 1.8
map13 	 13 	 1.2
map29 	 29 	 0.7
map22 	 22 	 0.8
map37 	 37 	 1.3
map5 	 5 	 1.0
map34 	 34 	 0.8
map30 	 30 	 1.0
map14 	 14 	 0.8
