map4  	  map7  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map4  	  map12  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map4  	  map13  	  5  	  5  	  5.0                   	  3.90625          	  3.90625          	  3.90625             
map4  	  map14  	  124  	  128  	  125.333333333333      	  96.875           	  100.0            	  97.9166666666667    
map4  	  map15  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map4  	  map16  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map4  	  map18  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map4  	  map19  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map4  	  map22  	  73  	  91  	  82.6666666666667      	  57.03125         	  71.09375         	  64.5833333333333    
map4  	  map25  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map4  	  map27  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map4  	  map28  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map4  	  map29  	  1  	  7  	  3.33333333333333      	  0.78125          	  5.46875          	  2.60416666666667    
map4  	  map30  	  82  	  106  	  95.0                  	  64.0625          	  82.8125          	  74.21875            
map4  	  map31  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map4  	  map34  	  60  	  107  	  87.3333333333333      	  46.875           	  83.59375         	  68.2291666666667    
map4  	  map37  	  128  	  128  	  128.0                 	  100.0            	  100.0            	  100.0               
map4  	  map38  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map1  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map2  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map3  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map4  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map7  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map12  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map13  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map14  	  125  	  126  	  125.333333333333      	  97.65625         	  98.4375          	  97.9166666666667    
map5  	  map15  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map16  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map18  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map19  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map22  	  20  	  22  	  21.0                  	  15.625           	  17.1875          	  16.40625            
map5  	  map25  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map27  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map28  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map29  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map30  	  61  	  76  	  68.0                  	  47.65625         	  59.375           	  53.125              
map5  	  map31  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map5  	  map34  	  4  	  18  	  10.6666666666667      	  3.125            	  14.0625          	  8.33333333333333    
map5  	  map37  	  17  	  28  	  22.6666666666667      	  13.28125         	  21.875           	  17.7083333333333    
map5  	  map38  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map7  	  map1  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map7  	  map2  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map7  	  map3  	  119  	  128  	  124.333333333333      	  92.96875         	  100.0            	  97.1354166666667    
map7  	  map4  	  0  	  2  	  0.666666666666667     	  0.0              	  1.5625           	  0.520833333333333   
map7  	  map5  	  132  	  138  	  134.666666666667      	  98.4375          	  100.0            	  99.4791666666667    
map7  	  map12  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map7  	  map13  	  84  	  112  	  102.333333333333      	  65.625           	  86.71875         	  79.4270833333333    
map7  	  map14  	  127  	  128  	  127.333333333333      	  99.21875         	  100.0            	  99.4791666666667    
map7  	  map15  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map7  	  map16  	  30  	  52  	  39.0                  	  23.4375          	  40.625           	  30.46875            
map7  	  map18  	  0  	  1  	  0.333333333333333     	  0.0              	  0.78125          	  0.260416666666667   
map7  	  map19  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map7  	  map22  	  54  	  80  	  65.0                  	  42.1875          	  62.5             	  50.78125            
map7  	  map25  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map7  	  map27  	  113  	  118  	  116.0                 	  88.28125         	  92.1875          	  90.625              
map7  	  map28  	  111  	  118  	  115.666666666667      	  85.9375          	  91.40625         	  88.8020833333333    
map7  	  map29  	  128  	  128  	  128.0                 	  100.0            	  100.0            	  100.0               
map7  	  map30  	  130  	  135  	  131.666666666667      	  100.0            	  100.0            	  100.0               
map7  	  map31  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map7  	  map34  	  132  	  137  	  134.0                 	  100.0            	  100.0            	  100.0               
map7  	  map37  	  74  	  82  	  78.3333333333333      	  57.8125          	  64.0625          	  61.1979166666667    
map7  	  map38  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map13  	  map1  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map13  	  map2  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map13  	  map3  	  43  	  49  	  46.6666666666667      	  33.59375         	  38.28125         	  36.4583333333333    
map13  	  map4  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map13  	  map5  	  132  	  136  	  134.0                 	  99.21875         	  100.0            	  99.4791666666667    
map13  	  map7  	  46  	  61  	  53.0                  	  35.9375          	  47.65625         	  41.40625            
map13  	  map12  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map13  	  map14  	  127  	  128  	  127.666666666667      	  99.21875         	  100.0            	  99.7395833333333    
map13  	  map15  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map13  	  map16  	  0  	  1  	  0.333333333333333     	  0.0              	  0.78125          	  0.260416666666667   
map13  	  map18  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map13  	  map19  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map13  	  map22  	  15  	  72  	  42.3333333333333      	  11.71875         	  56.25            	  33.0729166666667    
map13  	  map25  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
